First Name	Last Name	Date of Birth	Identification Number	Address	Phone Number	Checking Account Number	Savings Account Number	Credit Account Number	Checking Starting Balance	Savings Starting Balance	Credit Starting Balance
Jafar	Aladdin	"November 28, 2000"	18	"1313 Disneyland Dr, Anaheim, CA 92802"	(714) 781-4636	1017	2017	3017	685.06	446.51	71.99
Ursela	Mermaid	"April 8, 2001"	19	"1313 Disneyland Dr, Anaheim, CA 92802"	(714) 781-4636	1018	2018	3018	1076.09	1255.03	548.68
Beast	Disney	"February 6, 1997"	20	"1313 Disneyland Dr, Anaheim, CA 92802"	(714) 781-4636	1019	2019	3019	400.48	1289.90	988.31
Belle	Disney	"June 28, 1988"	21	"1313 Disneyland Dr, Anaheim, CA 92802"	(714) 781-4636	1020	2020	3020	741.96	4865.79	1732.12
Cruella	De Vil	"March 28, 1986"	22	"1313 Disneyland Dr, Anaheim, CA 92802"	(714) 781-4636	1021	2021	3021	1943.57	1907.20	957.64
Scar	Lion	"September 13, 1946"	23	"1313 Disneyland Dr, Anaheim, CA 92802"	(714) 781-4636	1022	2022	3022	1155.49	4169.78	534.93
Simba	King	"May 25, 1938"	24	"1313 Disneyland Dr, Anaheim, CA 92802"	(714) 781-4636	1023	2023	3023	1101.27	802.42	797.73
Gaston	Disney	"December 1, 1975"	25	"1313 Disneyland Dr, Anaheim, CA 92802"	(714) 781-4636	1024	2024	3024	780.70	4092.56	688.46
Shere	Khan	"September 23, 2005"	26	"1313 Disneyland Dr, Anaheim, CA 92802"	(714) 781-4636	1025	2025	3025	1590.44	4829.97	1617.52
Captain	Hook	"December 11, 1993"	27	"1313 Disneyland Dr, Anaheim, CA 92802"	(714) 781-4636	1026	2026	3026	661.83	3745.85	1556.62
Kaa	Disney	"February 16, 1986"	28	"1313 Disneyland Dr, Anaheim, CA 92802"	(714) 781-4636	1027	2027	3027	259.53	2964.84	1547.86
Evil	Queen	"January 20, 2005"	29	"1313 Disneyland Dr, Anaheim, CA 92802"	(714) 781-4636	1028	2028	3028	1616.39	2837.18	369.02
Pinocchio	Disney	"October 17, 1993"	30	"1313 Disneyland Dr, Anaheim, CA 92802"	(714) 781-4636	1029	2029	3029	1800.71	4748.29	1607.26
Prince	Eric	"November 4, 1967"	31	"1313 Disneyland Dr, Anaheim, CA 92802"	(714) 781-4636	1030	2030	3030	1963.61	2737.72	1845.56
Quasimodo	Disney	"September 17, 1972"	32	"1313 Disneyland Dr, Anaheim, CA 92802"	(714) 781-4636	1031	2031	3031	1712.15	1677.79	1047.39
Hercules	Disney	"October 8, 1963"	33	"1313 Disneyland Dr, Anaheim, CA 92802"	(714) 781-4636	1032	2032	3032	315.04	3010.61	424.77
Mulan	Disney	"August 10, 1946"	34	"1313 Disneyland Dr, Anaheim, CA 92802"	(714) 781-4636	1033	2033	3033	987.32	1741.39	1901.80
Lilo	Disney	"October 11, 1996"	35	"1313 Disneyland Dr, Anaheim, CA 92802"	(714) 781-4636	1034	2034	3034	423.62	76.39	1178.17
Stitch	Disney	"January 11, 1959"	36	"1313 Disneyland Dr, Anaheim, CA 92802"	(714) 781-4636	1035	2035	3035	677.74	4408.47	750.99
