From First Name	From Last Name	From Where	Action	To First Name	To Last Name	To Where	Action Amount
Buzz	Lightyear	Savings	withdraws			Savings	79
Jafar	Aladdin	Checking	pays	Solomon	Davis	Checking	37.95
Ursela	Mermaid	Savings	withdraws			Savings	62
Beast	Disney	Checking	pays	Hugo	Dominguez	Checking	11.62
Belle	Disney	Savings	withdraws			Savings	77
Cruella	De Vil	Checking	pays	Seth	Flores	Checking	31.95
Scar	Lion	Savings	withdraws			Savings	96
Simba	King	Checking	pays	Anthony	Herrera	Checking	50.35
Gaston	Disney	Savings	withdraws			Savings	80
Shere	Khan	Checking	pays	Juan	Isasi	Checking	18.41
Captaiin	Hook	Savings	withdraws			Savings	77
Kaa	Disney	Checking	pays	Valeria	Macias	Checking	42.60
Evil	Queen	Savings	withdraws			Savings	60
Pinocchio	Disney	Checking	pays	Ana	Mata Sanchez	Checking	37.11
Prince	Eric	Savings	withdraws			Savings	95
Quasimodo	Disney	Checking	pays	Bryan	Molina	Checking	50.40
Hercules	Disney	Savings	withdraws			Savings	86
Mulan	Disney	Checking	pays	Ericka	Najera	Checking	28.85
Lilo	Disney	Savings	withdraws			Savings	82
Stitch	Disney	Checking	pays	Cesar	Padron	Checking	33.78
Gaston	Disney	Savings	withdraws			Savings	77
Mickey	Mouse	Checking	pays	Ricardo	Pena	Checking	33.53
Donald	Duck	Savings	withdraws			Savings	58
Minnie	Mouse	Checking	pays	Rigoberto	Quiroz	Checking	47.19
Goofy	Disney	Savings	withdraws			Savings	87
Pluto	Disney	Checking	pays	Kevin	Ramirez	Checking	14.37
Chip	Disney	Savings	withdraws			Savings	100
Dale	Disney	Checking	pays	Joshua	Ramos	Checking	14.46
Cinderella	Disney	Savings	withdraws			Savings	50
Ariel	Disney	Checking	pays	Lewis	Roe	Checking	40.11
Jasmine	Disney	Savings	withdraws			Savings	87
Aladdin	Disney	Checking	pays	Laila	Romero	Checking	33.28
Simba	Disney	Savings	withdraws			Savings	54
Mufassa	Disney	Checking	pays	Paola	Terrazas	Checking	44.76
